movie_id,title,youtube_key,comment
980477,Ne Zha 2,ETlOSBR92Fs,The way you explained this is SO clear. Thank you
980477,Ne Zha 2,ETlOSBR92Fs,Thank you a24❤
980477,Ne Zha 2,ETlOSBR92Fs,"Wait, it's from A24?! Also 2.2 Billion in less than six months is INSANE for an animated movie."
980477,Ne Zha 2,ETlOSBR92Fs,FINALLLLLLLYYYYYYYYYYYYYY!!!!! ive never been more seated
980477,Ne Zha 2,ETlOSBR92Fs,Watched this in the cinema in March and have never stopped thinking about it. Kept checking to see if it's released on streaming and here it is - a 2nd release. amazing
980477,Ne Zha 2,ETlOSBR92Fs,I ve had this on repeat all day
980477,Ne Zha 2,ETlOSBR92Fs,The animation is crazy good. Can't believe how much progress has come with in a few years
980477,Ne Zha 2,ETlOSBR92Fs,"Saw this when it was in US cinemas last February, and I tell ya, it was 2.5 hours of WORTH IT! If you get the chance, go see it, but please watch the 1st film for free on youtube to understand the plot."
980477,Ne Zha 2,ETlOSBR92Fs,"The chinese voice actors were phenomenal, but this english dub sounds great too"
980477,Ne Zha 2,ETlOSBR92Fs,A24 has been doing SO GOOD with animation projects! First Hazbin Hotel and now getting the opportunity to rerelease the highest-grossing animated movie of ALL time WITH a full English Dub! Can't wait to finally see this movie for myself & find out if it lives up to the high praise!!😁
980477,Ne Zha 2,ETlOSBR92Fs,You know I am seeing this a second time!
980477,Ne Zha 2,ETlOSBR92Fs,someone forgot the video description
980477,Ne Zha 2,ETlOSBR92Fs,thank you. i can finally watch this masterpiece in high quality
980477,Ne Zha 2,ETlOSBR92Fs,No. Freaking. Way… let’s go! Nezha is slept on. One of the best animated films in the last decade. I can’t wait for this.
980477,Ne Zha 2,ETlOSBR92Fs,I wish I had the chance to watch the Chinese version at the theater but I'll be very happy if at least I get the chance to watch this dubed version.
980477,Ne Zha 2,ETlOSBR92Fs,"Let's effing go. This was my first time seeing a foreign 3d CG animated movie. It was so surprising and I even though I had no idea what they were saying, I still understood the comedy bits"
980477,Ne Zha 2,ETlOSBR92Fs,Finally someone heard my prayers!!!! I wanted to watch this so bad but couldn't even find it in pirate websites
980477,Ne Zha 2,ETlOSBR92Fs,"Best. Movie. Ever!!! The angles. The animation. The stereo depth. The story. Westerners, please see this!"
980477,Ne Zha 2,ETlOSBR92Fs,First KPDH and now this. What a year
980477,Ne Zha 2,ETlOSBR92Fs,Peak cinema is back
980477,Ne Zha 2,ETlOSBR92Fs,"“Waited 6 years for this and it was 100% worth it! The movie’s 2.5 hours but I needed 3, ‘cause those breathtaking scenes were just too epic to watch once 🤯🔥 Ne Zha 2 completely stole my heart.”"
980477,Ne Zha 2,ETlOSBR92Fs,This deserves way more views. Absolutely underrated
980477,Ne Zha 2,ETlOSBR92Fs,The editing is top-tier. Seriously impressive
980477,Ne Zha 2,ETlOSBR92Fs,"me and my husband watched 2 twice😂 if there is a 3d imax screen here, will Probably watch it again😂"
980477,Ne Zha 2,ETlOSBR92Fs,Need part 3 asap ❤❤❤❤
980477,Ne Zha 2,ETlOSBR92Fs,I watched in Asia. Absolute cinema!
980477,Ne Zha 2,ETlOSBR92Fs,"Finally. Time to humble Disney, Pixar, and Dreamworks."
980477,Ne Zha 2,ETlOSBR92Fs,"I study Chinese every day. I'm an American who lives in Japan. I have the first Nezha movie on my iPad. My two little teachers who are about 8 and 10, I must provide a viewing of Nezha, again and again. But I have learned a lot, like how to say ""little demon."""
980477,Ne Zha 2,ETlOSBR92Fs,"Watched it 6 times in Chinese. Will definitely watch it again in English. The best two animated movies, WALL·E and Nezha 2"
